1,Afghanistan
2,Albania
3,Algeria
4,American Samoa
5,Andorra
6,Angola
7,Antigua and Barbuda
8,Argentina
9,Armenia
10,Aruba
11,Australia
12,Austria
13,Azerbaijan
14,"Bahamas, The"
15,Bahrain
16,Bangladesh
17,Barbados
18,Belarus
19,Belgium
20,Belize
21,Benin
22,Bermuda
23,Bhutan
24,Bolivia
25,Bosnia and Herzegovina
26,Botswana
27,Brazil
28,British Virgin Islands
29,Brunei
30,Bulgaria
31,Burkina Faso
32,Burundi
33,Cabo Verde
34,Cambodia
35,Cameroon
36,Canada
37,Cayman Islands
38,Central African Republic
39,Chad
40,Chile
41,China
42,Colombia
43,Comoros
44,"Congo, Dem. Rep."
45,"Congo, Rep."
46,Costa Rica
47,Cote d'Ivoire
48,Croatia
49,Cuba
50,Curacao
51,Cyprus
52,Czech Republic
53,Denmark
54,Djibouti
55,Dominica
56,Dominican Republic
57,Ecuador
58,Egypt
59,El Salvador
60,Equatorial Guinea
61,Eritrea
62,Estonia
63,Ethiopia
64,Faroe Islands
65,Fiji
66,Finland
67,France
68,French Polynesia
69,Gabon
70,"Gambia, The"
71,Georgia
72,Germany
73,Ghana
74,Gibraltar
75,Greece
76,Greenland
77,Grenada
78,Guam
79,Guatemala
80,Guinea
81,Guinea-Bissau
82,Guyana
83,Haiti
84,Honduras
85,"Hong Kong SAR, China"
86,Hungary
87,Iceland
88,India
89,Indonesia
90,"Iran, Islamic Rep."
91,Iraq
92,Ireland
93,Isle of Man
94,Israel
95,Italy
96,Jamaica
97,Japan
98,Jordan
99,Kazakhstan
100,Kenya
101,Kiribati
102,"Korea, Dem. People's Rep."
103,"Korea, Rep."
104,Kuwait
105,Kyrgyz Republic
106,Lao PDR
107,Latvia
108,Lebanon
109,Lesotho
110,Liberia
111,Libya
112,Liechtenstein
113,Lithuania
114,Luxembourg
115,"Macao SAR, China"
116,North Macedonia
117,Madagascar
118,Malawi
119,Malaysia
120,Maldives
121,Mali
122,Malta
123,Marshall Islands
124,Martinique
125,Mauritania
126,Mauritius
127,Mexico
128,"Micronesia, Fed. Sts."
129,Moldova
130,Monaco
131,Mongolia
132,Montenegro
133,Morocco
134,Mozambique
135,Myanmar
136,Namibia
137,Nauru
138,Nepal
139,Netherlands
140,New Caledonia
141,New Zealand
142,Nicaragua
143,Niger
144,Nigeria
145,Northern Mariana Islands
146,Norway
147,Oman
148,Pakistan
149,Palau
150,Palestine
151,Panama
152,Papua New Guinea
153,Paraguay
154,Peru
155,Philippines
156,Poland
157,Portugal
158,Puerto Rico
159,Qatar
160,Reunion
161,Romania
162,Russian Federation
163,Rwanda
164,Saint Kitts and Nevis
165,Samoa
166,San Marino
167,Sao Tome and Principe
168,Saudi Arabia
169,Senegal
170,Serbia
171,Seychelles
172,Sierra Leone
173,Singapore
174,Sint Maarten (Dutch part)
175,Slovak Republic
176,Slovenia
177,Solomon Islands
178,Somalia
179,South Africa
180,South Sudan
181,Spain
182,Sri Lanka
183,St. Lucia
184,St. Martin (French part)
185,St. Vincent and the Grenadines
186,Sudan
187,Suriname
188,Swaziland
189,Sweden
190,Switzerland
191,Syrian Arab Republic
192,"Taiwan, China"
193,Tajikistan
194,Tanzania
195,Thailand
196,Timor-Leste
197,Togo
198,Tonga
199,Trinidad and Tobago
200,Tunisia
201,Turkey
202,Turkmenistan
203,Turks and Caicos Islands
204,Tuvalu
205,Uganda
206,Ukraine
207,United Arab Emirates
208,United Kingdom
209,United States
210,Uruguay
211,Uzbekistan
212,Vanuatu
213,"Venezuela, RB"
214,Vietnam
215,"Yemen, Rep."
216,Zambia
217,Zimbabwe
218,Kosovo
